Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-12-31,224.25,234.18,219.22,224.93
2016-12-31,223.38,233.35,217.17,230.11
2017-12-31,229.86,254.69,229.86,254.69
2018-12-31,255.32,258.32,244.75,250.34
2019-12-31,251.25,260.63,249.8,258.89
2020-12-31,260.49,282.07,232.84,281.6
2021-12-31,282.87,299.14,278.93,279.48
2022-12-31,279.83,283.17,229.97,259.34
2023-12-31,260.42,314.53,260.42,313.31
2024-12-31,311.43,328.68,308.53,320.05
