Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-12-31,98.42,98.42,90.61,95.68
2016-12-31,94.14,116.16,86.66,116.05
2017-12-31,115.63,140.83,115.63,140.67
2018-12-31,140.9,144.17,136.88,142.98
2019-12-31,143.66,152.05,142.62,151.98
2020-12-31,153.35,167.29,133.69,166.81
2021-12-31,167.7,182.39,165.63,167.11
2022-12-31,168.44,172.72,133.22,149.06
2023-12-31,149.76,193.37,149.76,193.08
2024-12-31,191.92,211.27,189.68,207.75
