Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-12-31,133.65,140.12,127.74,131.06
2016-12-31,129.85,136.62,126.68,136.42
2017-12-31,136.74,147.16,136.74,147.15
2018-12-31,147.69,151.54,136.77,138.47
2019-12-31,139.34,146.57,138.44,146.52
2020-12-31,147.74,174.84,130.95,174.55
2021-12-31,176.05,192.34,176.03,179.79
2022-12-31,180.53,182.07,144.67,161.17
2023-12-31,162.05,205.71,162.05,204.41
2024-12-31,202.74,219.32,201.05,215.89
