Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-12-31,66.94,76.16,65.37,69.66
2016-12-31,68.28,80.6,62.92,80.6
2017-12-31,80.52,97.99,80.52,97.65
2018-12-31,98.14,105.09,83.36,84.24
2019-12-31,84.85,103.61,83.93,103.61
2020-12-31,106.01,159.37,80.63,159.37
2021-12-31,162.92,199.4,161.33,182.01
2022-12-31,184.7,189.69,122.59,147.72
2023-12-31,148.7,212.64,148.7,209.12
2024-12-31,206.96,262.98,202.26,242.33
