Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-12-31,100,100,68.5,71.85
2016-12-31,74.14,160.92,67.09,112.9
2017-12-31,112.88,137.74,105.15,114.29
2018-12-31,115.11,116.48,90.45,105.12
2019-12-31,106.83,163.11,102.11,163.11
2020-12-31,162.21,243.63,110.77,209.26
2021-12-31,222.92,222.92,152.29,167.22
2022-12-31,167.43,210.91,120.91,155.74
2023-12-31,155.68,188.1,141.07,165.12
2024-12-31,163.76,223.79,139.18,180.38
